"AWARD
 YEAR","PROJECT NAME","PROGRAM
NUMBER","STATE PROJECT
NUMBER","FEDERAL PROJECT 
NUMBER","PROJECT
TYPE","COUNTY","AWARD","SUPPLEMENTALS","DESIGN
AUTHORIZATION","5G or OCC","CONSULTANT","DESIGN NOTICE
TO PROCEED","SCOPE OF
WORK","30% PLANS
RECEIVED","PRELIMINARY
FIELD REVIEW","90% PLANS
RECEIVED","FINAL
FIELD REVIEW","NEPA 
COMPLETE","PS&E
SUBMITTED","CONSTRUCTION
AUTHORIZATION","CONSTRUCTION
NOTICE TO PROCEED","CONSTRUCTION
COMPLETION DATE","PROJECT COMPLETION
PERCENTAGE","STATUS UPDATE","PROJECT
COMPLETE?","PROJECT
MANAGER","OUTSTANDING
INVOICES?","CLOSED
IN HUB?"
"2011","St. Albans Streetscape 2011  (Phase 4)","2011001569","U320-STA/LB-7. 02","ATEA-2011(177)D ","TA","Kanawha","$312,500.00","$0.00","","","11/19/10","CHAPMAN","","","","","","","","","","12/29/15","","Town doing own work, should have been completed 12/2022.  Still not complete.  Gathering invoices for billing.  Project is complete.  Schedule final inspection.  Town is putting together invoices.","Yes","Brisendine","",""
"2014","St. Albans Streetscape 2014","2015000594","U320-STA/LB-10. 00","TAP-2014(205)D","TA","Kanawha","$245,000.00","$181,350.03","","","9/15/16","CHAPMAN","8/2/19","","10/3/19","","","7/27/20","6/15/22","","9/29/20","8/12/22
3/28/23","","Project is 100% complete.","Yes","Brisendine","",""
"2014","St. Mary's Sidewalks","","U337-STM/AR-2. 00","TAP-2014(183)DTC
TAP-2014(184)D","TA","Pleasants","","$0.00","","","","","","","","","","","","","","",""," Issues with Auditing, being resolved.  Still needs resolved to close out. ","Yes","Oliver","",""
"2018","Straley Ave & North 8th Street Sidewalk Project","2019000507","U328-PRI/NC-10.00"," TAP-2018(239)DTC ","TA","Mercer","$32,000.00","$0.00","07/13/2020","","T&L","7/24/2020","7/17/2019","12/21/2020","","5/3/23","5/18/23","1/25/2022","10/17/23","9/25/23","2/5/2024","5/31/2024","100%"," Project complete. Needs supplemental to cover CO ","Yes","Nunnally","",""
"","Union North Street Phase 3","","S332-3-00000","TAP-0003(276)D","TA","Monroe","","$0.00","","","","","","","","","","","","","","",""," Project Complete, needs closed in the system.  Received final invoice.  Project needs closed. ","Yes","Nunnally","",""
"2022","Union Street CR 6 Bruceton Mills","2021000855","U339-BRU/CE-2. 00","TAP-2020(241)D
TAP-2022(135)D","TA","Preston","","$0.00","","","Potesta","04/19/2023 A","","","","","NA","","","","","TBA","100%"," Project Complete. Some issues with completed project getting resolved ","Yes","Nunnally","",""
"2018","US 219 South Sidewalk Phase Foster St to Austin St","","U313-LEW/IS-8.00"," TAP-2018(253)D
TAP-2018(254)D ","TA","Greenbrier","$200,000.00","$0.00","","","","","","","","","","","","","","",""," Design and construction complete.   ","Yes","Hayes","",""
"2016","Vienna Grand Central Avenue Streetscape - Phase II","2015000612","U354-VIE/NN-1. 00"," TAP-2014(212)DTC 
TAP-2014(213)D  ","TA","Wood","$91,335.00","$21,210.07","8/16/2018","","B & N","8/16/2018","10/26/2016","9/11/2018","10/1/2018","2/16/2024","NA","9/30/2022","9/26/2023","10/30/2023","2/12/2024","TBA","56%"," project Completed ","Yes","Nunnally","",""
"2021","Village of Bethlehem Community Park Rehabilitation and Expansion Part 2","2021000853","U335-BET/HL-1.00"," NRT-2020(244)D ","RT","Ohio","$40,000.00","$0.00","","","Village of Bethlehem ","9/16/2022","","1/13/2022","","","N/A","1/21/2022","","08/17/2022","6/1/2023","N/A","100%"," Sponsor has purchased materials. Final inspection 6/24. Purchasing benches with remaining funds once appoved by mayor. Invoice #5 recieved 10/4. Benches have been approved starting landscaping and bench work to finish out the grant. Invoice coming soon. Benches will be installed in the Spring. Project complete ","Yes","Osayaba","",""
"2022","Wardensville Trail Design","20231600022","U316-WAR/DE-1.00"," NRT-2022(134)D ","RT","Hardy","$50,000.00","$0.00","","","N/A","N/A","5/24/23","","","","N/A","8/25/23","9/12/23","9/21/23","","TBA","100%"," Constuction complete. ","Yes","Nunnally","",""
"2021","Webster Road Sidewalk Construction","","U334-SUM/ME-2. 00","TAP-2021(448)D","TA","Nicholas","$360,000.00","$0.00","","","","","","","","","","","","","","","","Engineering complete.","Yes","Brisendine","",""
"2018","Weirton Park Drive Enhancements","","U305-WEI/RT-4.00","TAP-2018(258)D ","TA","Brooke","$393,500.00","$0.00","","","","","","","","","","","","","","","","Design and construction complete.  Verify invoices are paid and close.","Yes","Brisendine","",""
"2016","West Milford School Street Sidewalk Improvements","2017000098","U317-WES/TM-1. 00","TAP-2016(313)DTC 
  TAP-2016(314)D","TA","Harrison","$108,000.00","$8,212.19","","","NA","Thrasher","3/21/19","7/25/17","","","","","1/13/20","","12/12/18","NA",""," Design and construction complete.   ","Yes","Scoular","",""
"","White Oak Lighting Rail Trail Lighting (Oak Hill)","2017000183","U310-WHI/TE-1. 00","TAP-2016(354)DTC
TAP-2016(355)D","TA","Fayette","$392,000.00","$0.00","","","2/4/19","TERRADON","3/28/19","1/10/18","8/21/19","3/10/20","4/10/2020","","10/18/18","","11/17/20","","","Construction is 100% complete.","Yes","Brisendine","",""
"2018","WV Northern Rail-Trail","2019000141","U339-WVN/OR-1. 00","NRT-2016-333-D","RT","Preston","$617,043.00","$0.00","","","","Alpha Eng.","","","","","08/14/2019","","01/13/2014","","","",""," Project complete. $60K remaining.  Sponsor should have made decision Fall 2022.  Will be completed Summer/Fall 2023. ","Yes","McClanahan","",""
"2016","Vienna Grand Central Avenue Streetscape - Phase II","2015000612","U354-VIE/NN-1. 00"," TAP-2014(212)DTC 
TAP-2014(213)D  ","TA","Wood","$91,335.00","$21,210.07","8/16/2018","","B & N","8/16/2018","10/26/2016","9/11/2018","10/1/2018","2/16/2024","NA","9/30/2022","9/26/2023","10/30/2023","2/12/2024","TBA","56%"," project Completed ","Yes","Nunnally","",""
"2019","HMT Biological Assessment & Programmatic Agreement Development","2020001413","U303-HAT/FI-21. 00","NRT-2019(201)D","RT","Boone","$80,000.00","$0.00","","","n/a","n/a","","","","","n/a","","","","","12/28/26 E","100%"," BA complete. ","No","Hayes","",""
